scenario_index,topology_type,simulated_event,active_feeder,hidden_total_buses,hidden_total_edges,hidden_f1_r_ohm,hidden_f2_r_ohm,hidden_f3_r_ohm,hidden_motor_count,hidden_capacitor_count,transformer1_hv_voltage_v,transformer1_hv_current_amp,transformer1_loading_pct,transformer1_copper_loss_kw,transformer1_core_loss_kw,transformer1_voltage_regulation_pct,transformer1_eq_impedance_ohm,transformer1_tap_position,transformer2_loading_pct,transformer2_copper_loss_kw,transformer2_core_loss_kw,transformer2_voltage_regulation_pct,transformer2_eq_impedance_ohm,transformer2_tap_position,transformer3_loading_pct,transformer3_copper_loss_kw,transformer3_core_loss_kw,transformer3_voltage_regulation_pct,transformer3_eq_impedance_ohm,transformer3_tap_position,feeder1_voltage_mag_kv,feeder1_voltage_pos_mag_kv,feeder1_voltage_neg_mag_kv,feeder1_voltage_zero_mag_kv,feeder1_voltage_unbalance_pct,feeder1_current_mag_amp,feeder1_current_pos_mag_amp,feeder1_current_unbalance_pct,feeder1_p_kw,feeder1_q_kvar,feeder1_s_kva,feeder1_pf,feeder2_voltage_mag_kv,feeder2_voltage_unbalance_pct,feeder2_current_mag_amp,feeder2_current_unbalance_pct,feeder2_p_kw,feeder2_q_kvar,feeder2_pf,feeder3_voltage_mag_kv,feeder3_voltage_unbalance_pct,feeder3_current_mag_amp,feeder3_current_unbalance_pct,feeder3_p_kw,feeder3_q_kvar,feeder3_pf,feeder1_eq_impedance_ohm,feeder2_eq_impedance_ohm,feeder3_eq_impedance_ohm,feeder1_phase_angle_diff_deg,feeder2_phase_angle_diff_deg,feeder3_phase_angle_diff_deg,feeder1_stiffness_kva,feeder2_stiffness_kva,feeder3_stiffness_kva,feeder1_dv_dp,feeder1_dv_dq,feeder2_dv_dp,feeder2_dv_dq,feeder3_dv_dp,feeder3_dv_dq,jacobian_sigma_1,jacobian_sigma_2,jacobian_sigma_3,jacobian_sigma_4,observability_condition_kappa,latent_total_load_demand_kw,latent_topology_entropy,latent_avg_f1_electrical_distance_km
0,radial,steady_state,1,134,131,2.0295,0.9673,1.0108,12,16,6287.8,33.04,41.55,5.524,7.5,0.983,190.321,1.0,14.01,0.628,7.5,0.283,571.928,1.0,14.1,0.636,7.5,0.243,564.843,1.0,6.2878,6.2878,0.0,0.0629,0.0,33.04,33.04,0.0,590.09,200.45,623.21,0.947,6.3292,0.0,11.07,0.0,203.54,-52.19,0.969,6.3105,0.0,11.17,0.0,207.74,39.74,0.982,190.321,571.928,564.843,-30.217,-30.129,-30.136,207.74,70.04,70.5,-0.110276,-0.11272,0.0,0.0,0.0,0.0,0.928712,0.582483,0.074459,0.0,737793929.122,1090.55,5.642,5.025
1,radial,transformer_energization,2,171,168,2.4502,2.8021,0.9864,11,16,6276.5,22.46,28.19,2.543,7.5,0.715,279.464,1.0,62.85,12.642,7.5,1.58,122.32,1.0,12.1,0.469,7.5,0.146,653.877,1.0,6.2765,6.2765,0.0,0.0628,0.0,22.46,22.46,0.0,394.86,151.41,422.89,0.934,6.2001,0.0,50.69,0.0,882.03,333.0,0.936,6.2903,0.0,9.62,0.0,180.92,14.92,0.997,279.464,122.32,653.877,-30.389,-30.854,-30.416,140.96,314.27,60.51,0.0,0.0,-0.106803,-0.100436,0.0,0.0,0.710954,0.434688,0.073568,0.0,1207356719.453,1314.1,5.69,5.49
2,radial,capacitor_switching,3,183,180,1.4209,3.0649,2.8733,22,17,6269.9,18.41,23.08,1.705,7.5,0.499,340.64,1.0,47.44,7.202,7.5,1.275,162.622,1.0,43.43,6.036,7.5,1.347,176.001,1.0,6.2699,6.2699,0.0,0.0627,0.0,18.41,18.41,0.0,332.45,96.66,346.22,0.96,6.2109,0.0,38.19,0.0,655.23,277.65,0.921,6.1823,0.0,35.13,0.0,571.51,312.74,0.877,340.64,162.622,176.001,-30.43,-30.714,-30.739,115.41,237.21,217.16,0.0,0.0,0.0,0.0,-0.121775,-0.110066,0.628879,0.398008,0.073472,0.0,409707184.017,1869.39,5.734,2.983
3,radial,motor_starting,1,188,185,2.1699,2.0695,1.9697,10,14,6012.8,126.01,151.53,73.48,7.5,4.511,47.717,1.0,32.98,3.48,7.5,0.643,231.343,1.0,36.58,4.283,7.5,1.022,205.816,1.0,6.0128,6.0128,0.0,0.0601,0.0,126.01,126.01,0.0,2026.79,1028.91,2273.01,0.892,6.1761,0.0,26.7,0.0,480.87,115.93,0.972,6.1357,0.0,29.81,0.0,499.82,226.51,0.911,47.717,231.343,205.816,-32.237,-31.629,-31.704,757.67,164.88,182.92,-0.133916,-0.135872,0.0,0.0,0.0,0.0,1.152473,0.700929,0.074563,0.0,174694825.525,1928.64,5.769,5.438
4,radial,temporary_fault,2,119,116,1.3314,1.4463,0.7416,6,10,6289.3,22.89,28.79,2.652,7.5,0.664,274.805,1.0,50.31,8.1,7.5,0.934,149.599,1.0,13.0,0.541,7.5,0.28,609.646,1.0,6.2893,6.2893,0.0229,0.0629,0.364,22.89,22.89,0.304,410.62,133.64,431.82,0.951,6.2446,1.035,41.74,40.57,737.01,162.24,0.977,6.2956,0.366,10.33,0.045,187.44,53.92,0.961,274.805,149.599,609.646,-30.334,-30.747,-30.31,143.94,260.65,65.01,0.0,0.0,-0.15122,-0.145148,0.0,0.0,1.012507,0.626164,0.073886,0.0,1188427388.671,1192.79,5.604,3.058
5,radial,nonlinear_load,3,122,119,1.6587,0.9105,0.6563,11,12,6299.0,24.99,31.48,3.171,7.5,0.491,252.078,1.0,21.83,1.525,7.5,0.546,363.057,1.0,16.16,0.836,7.5,0.435,490.027,1.0,6.299,6.299,0.0,0.063,0.0,24.99,24.99,0.0,466.56,72.78,472.21,0.988,6.2946,0.0,17.34,0.0,306.68,114.63,0.937,6.2931,0.0,12.84,0.0,223.12,94.88,0.92,252.078,363.057,490.027,-30.183,-30.104,-30.093,157.4,109.14,80.82,0.0,0.0,0.0,0.0,-0.222276,-0.223779,1.255376,0.778452,0.072539,0.0,8124001297.569,923.75,5.606,3.853
6,radial,steady_state,1,128,125,1.7672,1.6277,0.5947,13,14,6295.3,29.11,36.66,4.3,7.5,0.801,216.23,1.0,19.32,1.195,7.5,0.216,413.158,1.0,11.95,0.457,7.5,0.267,666.703,1.0,6.2953,6.2953,0.0,0.063,0.0,29.11,29.11,0.0,527.28,155.91,549.84,0.959,6.3183,0.0,15.29,0.0,289.28,-18.5,0.998,6.3125,0.0,9.47,0.0,171.36,52.8,0.956,216.23,413.158,666.703,-30.183,-30.183,-30.061,183.28,96.62,59.77,-0.139167,-0.146371,0.0,0.0,0.0,0.0,1.107855,0.701914,0.074244,0.0,1259751827.027,962.45,5.593,4.024
7,ring,transformer_energization,2,111,109,1.295,1.3598,1.4481,16,12,6278.7,16.33,20.51,1.346,7.5,0.49,384.479,1.0,69.57,15.487,7.5,2.029,109.512,1.0,23.63,1.787,7.5,0.303,331.536,1.0,6.2787,6.2787,0.0,0.0628,0.0,16.33,16.33,0.0,290.69,100.6,307.6,0.945,6.172,0.0,56.36,0.0,937.3,458.73,0.898,6.2592,0.0,18.88,0.0,352.83,34.46,0.995,384.479,109.512,331.536,-30.416,-30.9,-30.724,102.53,347.84,118.17,0.0,0.0,-0.179067,-0.176658,0.0,0.0,1.217188,0.753182,0.07389,0.0,2052951171.185,933.42,5.734,2.801
8,radial,capacitor_switching,3,132,129,2.2865,1.3115,1.3214,13,13,6281.4,29.85,37.5,4.499,7.5,0.706,210.456,1.0,22.58,1.632,7.5,0.392,350.404,1.0,25.27,2.043,7.5,0.787,310.0,1.0,6.2814,6.2814,0.0,0.0628,0.0,29.85,29.85,0.0,548.57,124.14,562.44,0.975,6.29,0.0,17.95,0.0,332.54,64.43,0.982,6.2583,0.0,20.19,0.0,331.87,183.1,0.876,210.456,350.404,310.0,-30.359,-30.31,-30.301,187.48,112.91,126.34,0.0,0.0,0.0,0.0,-0.218818,-0.207546,1.180009,0.709396,0.073233,0.0,7546926424.836,1204.25,5.651,5.254
9,radial,motor_starting,1,115,112,2.3009,0.818,0.8623,5,14,6101.4,105.4,128.62,52.939,7.5,3.603,57.886,1.0,14.58,0.68,7.5,0.166,537.349,1.0,8.44,0.228,7.5,0.2,928.052,1.0,6.1014,6.1014,0.0,0.061,0.0,105.4,105.4,0.0,1755.61,800.06,1929.32,0.91,6.2592,0.0,11.65,0.0,218.21,15.01,0.998,6.2592,0.0,6.74,0.0,119.88,40.84,0.947,57.886,537.349,928.052,-31.522,-30.812,-30.725,643.11,72.91,42.21,-0.134839,-0.134863,0.0,0.0,0.0,0.0,1.131092,0.70966,0.074044,0.0,2360627140.719,970.27,5.522,5.415
